Раздел;Помещение;Наименование;Ед.;Кол-во;Цена ₽;Сумма ₽
Черновые работы;Прихожая;Стяжка и подготовка пола;м²;7,7;650;5005
Черновые работы;Прихожая;Штукатурка стен по маякам;м²;30,6;850;26010
Черновые работы;Прихожая;Потолок ГКЛ + окраска (1-й уровень);м²;7,7;1100;8470
Черновые работы;Прихожая;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;7,6;1450;11020
Черновые работы;Прихожая;Ниша банкетки с подсветкой (900×1350, глуб. 100);шт.;1;6500;6500
Черновые работы;Прихожая;Электромонтаж (свет 6 + розетки/выкл. 5);точка;11;3500;38500
Чистовая отделка;Прихожая;Шпаклёвка и окраска стен (2 слоя);м²;30,6;900;27540
Чистовая отделка;Прихожая;Укладка напольного покрытия;м²;7,7;800;6160
Чистовая отделка;Прихожая;Монтаж плинтуса;м.п.;10,3;450;4635
Материалы;Прихожая;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;7,7;2900;22185
Материалы;Прихожая;Пол: инженерная доска, дуб табак (+5%);м²;8,1;4800;38808
Материалы;Прихожая;плинтус МДФ 100 мм, в цвет стен;м.п.;10,3;550;5665
Черновые работы;Гостиная-кухня;Стяжка и подготовка пола;м²;32;650;20800
Черновые работы;Гостиная-кухня;Штукатурка стен по маякам;м²;62,1;850;52785
Черновые работы;Гостиная-кухня;Потолок ГКЛ + окраска (1-й уровень);м²;32;1100;35200
Черновые работы;Гостиная-кухня;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;19,2;1450;27840
Черновые работы;Гостиная-кухня;3-й уровень: «парящий» остров с теневой щелью;м²;6,8;2100;14325
Черновые работы;Гостиная-кухня;ТВ-ниша ГКЛ, LED 3000K по контуру (2400×1500, глуб. 100);шт.;1;6500;6500
Черновые работы;Гостиная-кухня;Электромонтаж (свет 26 + розетки/выкл. 16);точка;42;3500;147000
Чистовая отделка;Гостиная-кухня;Шпаклёвка и окраска стен (2 слоя);м²;62,1;900;55890
Чистовая отделка;Гостиная-кухня;Укладка напольного покрытия;м²;32;800;25600
Чистовая отделка;Гостиная-кухня;Монтаж плинтуса;м.п.;21,9;450;9855
Материалы;Гостиная-кухня;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;15,5;2900;45023
Материалы;Гостиная-кухня;Пол: инженерная доска, дуб табак (+5%);м²;33,6;4800;161280
Материалы;Гостиная-кухня;плинтус МДФ 100 мм, в цвет стен;м.п.;21,9;550;12045
Черновые работы;Кабинет;Стяжка и подготовка пола;м²;10,2;650;6630
Черновые работы;Кабинет;Штукатурка стен по маякам;м²;33,1;850;28135
Черновые работы;Кабинет;Потолок ГКЛ + окраска (1-й уровень);м²;10,2;1100;11220
Черновые работы;Кабинет;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;9,2;1450;13340
Черновые работы;Кабинет;Электромонтаж (свет 9 + розетки/выкл. 2);точка;11;3500;38500
Чистовая отделка;Кабинет;Шпаклёвка и окраска стен (2 слоя);м²;33,1;900;29790
Чистовая отделка;Кабинет;Укладка напольного покрытия;м²;10,2;800;8160
Чистовая отделка;Кабинет;Монтаж плинтуса;м.п.;11,9;450;5355
Материалы;Кабинет;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;8,3;2900;23998
Материалы;Кабинет;Пол: инженерная доска, дуб табак (+5%);м²;10,7;4800;51408
Материалы;Кабинет;плинтус МДФ 100 мм, в цвет стен;м.п.;11,9;550;6545
Черновые работы;Санузел гостевой;Стяжка и подготовка пола;м²;4;650;2600
Черновые работы;Санузел гостевой;Штукатурка стен по маякам;м²;21,4;850;18190
Черновые работы;Санузел гостевой;Потолок ГКЛ + окраска (1-й уровень);м²;4;1100;4400
Черновые работы;Санузел гостевой;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;4,4;1450;6380
Черновые работы;Санузел гостевой;Ниша-полка над ванной, LED, полка стекло (1200×350, глуб. 100);шт.;1;6500;6500
Черновые работы;Санузел гостевой;Электромонтаж (свет 4 + розетки/выкл. 5);точка;9;3500;31500
Чистовая отделка;Санузел гостевой;Облицовка плиткой (стены/пол);м²;25,4;2000;50800
Материалы;Санузел гостевой;Плитка керамогранит (стены+пол, +10% подрезка);м²;27,9;2600;72644
Черновые работы;Холл с лестницей;Стяжка и подготовка пола;м²;9;650;5850
Черновые работы;Холл с лестницей;Штукатурка стен по маякам;м²;33;850;28050
Черновые работы;Холл с лестницей;Потолок ГКЛ + окраска (1-й уровень);м²;9;1100;9900
Черновые работы;Холл с лестницей;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;8,4;1450;12180
Черновые работы;Холл с лестницей;Ниша банкетки с подсветкой (900×1350, глуб. 100);шт.;1;6500;6500
